Fecha	Magnitud Ml	Longitud	Latitud	Municipio	Profundidad Km	Estado
22/02/2017	1,2	-75,222	6,902	GUADALUPE	17	Revisado
22/02/2017	1	-76,337	6,853	DABEIBA	10,1	Revisado
22/02/2017	1,6	-76,8	6,516	VIGIA DEL FUERTE	19,1	Revisado
23/02/2017	1,7	-76,076	7,096	PEQUE	0	Revisado
23/02/2017	2,1	-76,094	7,112	DABEIBA	0	Revisado
23/02/2017	1,4	-76,708	6,776	MURINDO	14,8	Revisado
24/02/2017	1,7	-77,024	6,836	VIGIA DEL FUERTE	1,9	Revisado
24/02/2017	1,7	-76,024	7,283	ITUANGO	10	Revisado
24/02/2017	1,2	-75,984	7,267	ITUANGO	1,9	Revisado
25/02/2017	2,5	-76,942	6,904	MURINDO	4	Revisado
25/02/2017	1,5	-76,571	6,914	MURINDO	0	Revisado
25/02/2017	1,8	-76,094	7,112	DABEIBA	0	Revisado
25/02/2017	1,6	-76,199	7,155	DABEIBA	16	Revisado
25/02/2017	1,4	-74,666	7,019	REMEDIOS	31,5	Revisado
26/02/2017	1	-76,164	7,163	DABEIBA	0	Revisado
26/02/2017	1,3	-76,648	6,927	MURINDO	0	Revisado
27/02/2017	2,9	-75,277	7,086	CAMPAMENTO	11,5	Revisado
27/02/2017	2	-76,746	6,688	VIGIA DEL FUERTE	11,4	Revisado
27/02/2017	1,5	-75,016	7,281	ANORI	19	Revisado
27/02/2017	1,6	-76,379	6,709	FRONTINO	16,9	Revisado
27/02/2017	3,1	-76,24	7,008	DABEIBA	0	Revisado
28/02/2017	2,7	-73,8	6,896	YONDO	,9	Revisado
28/02/2017	2	-76,699	6,946	MURINDO	0	Revisado
01/03/2017	1,4	-74,573	6,361	PUERTO NARE	27,8	Revisado
01/03/2017	1,2	-76,042	5,591	BETANIA	9,8	Revisado
01/03/2017	1,1	-76,409	6,991	DABEIBA	21,1	Revisado
02/03/2017	,9	-76,098	7,247	PEQUE	0	Revisado
02/03/2017	1,5	-76,213	7,194	DABEIBA	0	Revisado
02/03/2017	1,2	-76,279	7,227	MUTATA	0	Revisado
03/03/2017	3,2	-74,719	6,521	MACEO	4	Revisado
03/03/2017	1,9	-74,73	6,515	MACEO	9,5	Revisado
03/03/2017	1,7	-74,732	6,516	MACEO	4	Revisado
03/03/2017	1,5	-75,983	6,97	PEQUE	0	Revisado
03/03/2017	1,3	-75,279	7,451	CACERES	48,8	Revisado
03/03/2017	3,5	-76,351	7,327	MUTATA	,5	Revisado
03/03/2017	2,4	-76,356	7,287	MUTATA	0	Revisado
04/03/2017	1,8	-74,671	6,927	REMEDIOS	4	Revisado
04/03/2017	1,1	-76,356	7,293	MUTATA	0	Revisado
04/03/2017	1,3	-75,628	7,262	ITUANGO	2,1	Revisado
04/03/2017	1,8	-76,6	6,862	MURINDO	0	Revisado
04/03/2017	1,7	-76,39	7,321	MUTATA	8	Revisado
04/03/2017	2,6	-76,312	7,268	MUTATA	0	Revisado
04/03/2017	1,7	-74,727	6,503	MACEO	17,7	Revisado
05/03/2017	1,4	-76,087	7,261	PEQUE	0	Revisado
05/03/2017	1,3	-76,204	7,161	DABEIBA	0	Revisado
05/03/2017	1,2	-74,729	6,879	VEGACHI	32,1	Revisado
05/03/2017	1,3	-75,706	6,167	HELICONIA	4	Revisado
06/03/2017	1,3	-75,847	7,151	ITUANGO	13,8	Revisado
06/03/2017	2	-75,452	7,525	TARAZA	1,3	Revisado
06/03/2017	1,8	-76,058	5,86	CIUDAD BOLIVAR	61,6	Revisado
07/03/2017	1,5	-76,826	6,904	MURINDO	30,2	Revisado
